step,loss
0,11.5625
1,3.546875
2,3.96875
3,4.15625
4,4.21875
5,3.453125
6,4.5625
7,3.890625
8,3.953125
9,2.125
10,3.21875
11,2.78125
12,2.953125
13,2.328125
14,3.09375
15,2.78125
16,1.953125
17,2.171875
18,3.171875
19,1.796875
20,2.078125
21,2.1875
22,1.84375
23,2.4375
24,2.421875
25,1.2421875
26,1.546875
27,1.296875
28,2.140625
29,1.953125
30,1.6015625
31,2.0
32,2.03125
33,2.3125
34,1.4296875
35,1.2109375
36,1.6875
37,2.46875
38,1.5625
39,1.515625
40,1.359375
41,1.7421875
42,2.046875
43,1.4609375
44,1.765625
45,1.84375
46,1.21875
47,1.7109375
48,1.296875
49,1.6015625
50,1.1328125
51,1.1328125
52,1.6015625
53,1.1953125
54,1.8984375
55,0.95703125
56,1.6015625
57,1.3125
58,1.8671875
59,1.2265625
60,1.3984375
61,0.80859375
62,1.734375
63,1.6640625
64,1.546875
65,1.140625
66,1.671875
67,0.84375
68,1.8359375
69,1.4296875
70,1.734375
71,1.109375
72,1.03125
73,1.0703125
74,1.09375
75,2.0625
76,1.3203125
77,0.9453125
78,1.2109375
79,1.1328125
80,1.265625
81,1.0078125
82,1.3671875
83,1.4609375
84,1.3671875
85,1.453125
86,1.9375
87,1.140625
88,1.4375
89,1.28125
90,1.109375
91,1.2734375
92,1.1328125
93,1.4921875
94,0.98046875
95,1.328125
96,1.34375
97,1.546875
98,1.2890625
99,0.875
