step,loss
0,11.5625
1,3.546875
2,4.0
3,4.4375
4,4.21875
5,3.671875
6,5.0625
7,3.78125
8,4.15625
9,2.5625
10,3.421875
11,2.9375
12,2.984375
13,2.375
14,3.171875
15,2.84375
16,2.015625
17,2.265625
18,3.328125
19,1.90625
20,2.21875
21,2.359375
22,2.015625
23,2.65625
24,2.65625
25,1.375
26,1.7109375
27,1.4375
28,2.34375
29,2.140625
30,1.75
31,2.1875
32,2.234375
33,2.546875
34,1.578125
35,1.34375
36,1.8828125
37,3.28125
38,1.7421875
39,1.6484375
40,1.53125
41,1.9375
42,2.265625
43,1.640625
44,1.9921875
45,2.078125
46,1.3359375
47,1.890625
48,1.4375
49,1.7734375
50,1.265625
51,1.2578125
52,1.734375
53,1.3125
54,2.09375
55,1.0625
56,1.7734375
57,1.4375
58,2.046875
59,1.3515625
60,1.546875
61,0.89453125
62,1.90625
63,1.8125
64,1.6953125
65,1.2890625
66,1.84375
67,0.921875
68,2.046875
69,1.578125
70,1.890625
71,1.2421875
72,1.140625
73,1.1953125
74,1.2109375
75,2.296875
76,1.5078125
77,1.0703125
78,1.375
79,1.296875
80,1.421875
81,1.1328125
82,1.5703125
83,1.7109375
84,1.625
85,1.6484375
86,2.1875
87,1.3046875
88,1.6640625
89,1.4609375
90,1.2734375
91,1.46875
92,1.3046875
93,1.734375
94,1.1484375
95,1.5546875
96,1.59375
97,1.8203125
98,1.546875
99,1.0390625
