step,loss
0,11.125
1,3.9375
2,26.625
3,23.75
4,3.875
5,6.9375
6,7.75
7,3.375
8,5.6875
9,34.25
10,9.0
11,7.90625
12,36.5
13,21.75
14,4.0
15,33.0
16,5.5
17,27.125
18,22.625
19,7.75
20,9.8125
21,6.1875
22,3.328125
23,3.90625
24,6.90625
25,6.4375
26,7.875
27,2.515625
28,4.3125
29,5.375
30,9.125
31,5.3125
32,6.15625
33,3.890625
34,4.09375
35,1.125
36,3.875
37,5.5
38,2.609375
39,3.40625
40,2.109375
41,3.328125
42,1.6171875
43,4.875
44,2.109375
45,1.2265625
46,1.4140625
47,10.0625
48,6.59375
49,2.71875
50,3.078125
51,3.265625
52,4.5
53,3.28125
54,5.125
55,7.0625
56,2.765625
57,4.78125
58,4.9375
59,3.203125
60,2.328125
61,2.25
62,4.09375
63,4.75
64,3.90625
65,3.1875
66,6.46875
67,4.34375
68,1.65625
69,4.8125
70,5.09375
71,1.65625
72,1.65625
73,0.63671875
74,6.09375
75,2.203125
76,1.34375
77,2.953125
78,1.5234375
79,1.828125
80,1.203125
81,4.875
82,1.4453125
83,5.8125
84,3.140625
85,3.53125
86,4.84375
87,2.953125
88,5.28125
89,4.5
90,1.8203125
91,5.28125
92,2.265625
93,2.09375
94,3.078125
95,0.70703125
96,3.375
97,2.484375
98,2.828125
99,2.71875
100,2.375
101,5.59375
102,3.3125
103,3.90625
104,2.625
105,0.98828125
106,2.609375
107,2.84375
108,4.15625
109,1.390625
110,3.59375
111,3.234375
112,6.09375
113,2.65625
114,3.703125
115,2.171875
116,4.8125
117,2.984375
118,2.875
119,2.328125
120,3.578125
121,3.46875
122,0.71875
123,2.0
124,4.46875
125,3.25
126,4.84375
127,2.21875
128,2.1875
129,3.140625
130,1.9921875
131,1.78125
132,3.796875
133,1.640625
134,3.25
135,1.03125
136,1.328125
137,2.46875
138,1.5390625
139,2.71875
140,1.6171875
141,3.0625
142,3.890625
143,4.46875
144,3.625
145,2.375
146,5.3125
147,3.140625
148,3.09375
149,2.015625
150,6.78125
151,3.046875
152,1.75
153,3.09375
154,2.8125
155,3.015625
156,1.203125
157,2.921875
158,0.8515625
159,2.703125
160,4.75
161,2.9375
162,2.78125
163,1.4375
164,2.953125
165,1.4765625
166,2.578125
167,2.0625
168,5.3125
169,4.40625
170,1.171875
171,1.5703125
172,1.5625
173,3.4375
174,2.046875
175,3.4375
176,4.6875
177,3.0
178,0.875
179,2.671875
180,1.9140625
181,3.59375
182,1.3984375
183,2.09375
184,2.59375
185,3.1875
186,2.78125
187,1.9375
188,3.53125
189,2.375
190,6.1875
191,2.984375
192,2.296875
193,2.109375
194,1.828125
195,3.671875
196,6.5
197,2.46875
198,5.3125
199,2.453125
200,1.296875
201,2.125
202,2.9375
203,1.875
204,1.6328125
205,3.21875
206,0.5390625
207,1.0703125
208,1.3046875
209,2.734375
210,2.1875
211,0.80078125
212,2.53125
213,4.40625
214,1.5703125
215,2.265625
216,1.65625
217,1.8359375
218,0.67578125
219,0.91796875
220,2.140625
221,4.34375
222,2.0625
223,1.765625
224,6.0625
225,2.609375
226,2.0
227,2.390625
228,2.421875
229,3.25
230,3.984375
231,1.7578125
232,2.65625
233,2.859375
234,4.03125
235,2.703125
236,2.03125
237,2.65625
238,3.171875
239,2.9375
240,3.484375
241,3.6875
242,2.34375
243,1.0703125
244,3.71875
245,2.625
246,1.4296875
247,0.59765625
248,0.62890625
249,1.4140625
250,5.71875
251,2.625
252,3.421875
253,0.625
254,6.625
255,3.09375
256,2.453125
257,1.6328125
258,2.8125
259,2.09375
260,3.375
261,4.21875
262,5.03125
263,3.109375
264,6.59375
265,3.671875
266,2.0625
267,2.5625
268,5.65625
269,3.8125
270,1.3125
271,2.21875
272,1.484375
273,1.375
274,2.484375
275,0.921875
276,3.1875
277,3.140625
278,4.8125
279,1.09375
280,3.609375
281,2.671875
282,1.8828125
283,1.0234375
284,2.421875
285,1.21875
286,1.6875
287,1.578125
288,2.21875
289,3.640625
290,0.466796875
291,2.109375
292,0.9921875
293,1.9453125
294,2.171875
295,7.84375
296,2.34375
297,8.0625
298,3.65625
299,3.75
300,3.328125
301,2.953125
302,3.203125
303,2.40625
304,3.3125
305,5.78125
306,0.6796875
307,2.765625
308,0.7734375
309,1.859375
310,2.78125
311,3.03125
312,4.09375
313,2.53125
314,3.015625
315,1.484375
316,2.953125
317,3.0625
318,2.203125
319,0.8671875
320,3.203125
321,2.265625
322,1.8359375
323,1.7578125
324,4.21875
325,3.0625
326,1.4140625
327,1.1484375
328,4.4375
329,0.95703125
330,4.71875
331,1.578125
332,3.421875
333,3.515625
334,3.21875
335,1.40625
336,3.5625
337,4.46875
338,2.828125
339,3.59375
340,3.5625
341,1.953125
342,2.984375
343,3.890625
344,0.56640625
345,2.203125
346,2.046875
347,7.1875
348,1.21875
349,2.359375
350,2.140625
351,1.984375
352,1.890625
353,4.21875
354,1.6875
355,2.859375
356,2.921875
357,1.8203125
358,4.75
359,4.34375
360,0.62109375
361,4.8125
362,7.40625
363,3.9375
364,3.78125
365,2.0625
366,1.5078125
367,1.1484375
368,2.046875
369,2.6875
370,3.171875
371,2.3125
372,0.734375
373,2.5
374,1.6171875
375,2.296875
376,2.25
377,2.609375
378,0.83984375
379,4.75
380,4.25
381,1.25
382,2.9375
383,5.0625
384,4.5
385,2.578125
386,0.81640625
387,2.921875
388,2.53125
389,2.015625
390,1.8125
391,1.3671875
392,5.34375
393,2.328125
394,1.71875
395,2.453125
396,6.40625
397,1.46875
398,0.796875
399,2.03125
400,1.3984375
401,1.125
402,4.09375
403,2.140625
404,0.62109375
405,2.359375
406,1.25
407,4.8125
408,1.875
409,0.80078125
410,2.96875
411,2.75
412,2.859375
413,2.34375
414,1.8359375
415,1.765625
416,1.0078125
417,0.62109375
418,8.125
419,3.6875
420,2.40625
421,1.859375
422,1.8515625
423,2.90625
424,1.34375
425,2.53125
426,0.75
427,3.0
428,2.015625
429,3.625
430,1.6171875
431,3.046875
432,2.828125
433,3.328125
434,2.078125
435,6.09375
436,1.9296875
437,5.46875
438,3.125
439,2.6875
440,1.0703125
441,2.484375
442,3.1875
443,2.140625
444,1.1875
445,2.71875
446,0.640625
447,2.21875
448,0.94140625
449,1.2421875
450,3.75
451,2.59375
452,3.984375
453,2.96875
454,4.40625
455,4.34375
456,2.703125
457,5.625
458,2.125
459,3.109375
460,0.96875
461,2.484375
462,0.63671875
463,2.53125
464,3.203125
465,2.3125
466,3.953125
467,4.40625
468,3.859375
469,5.3125
470,2.296875
471,2.84375
472,1.3828125
473,1.9140625
474,2.96875
475,2.109375
476,2.625
477,1.828125
478,0.96484375
479,5.90625
480,2.890625
481,2.1875
482,0.59375
483,1.453125
484,4.21875
485,3.78125
486,1.2578125
487,4.84375
488,3.203125
489,0.875
490,2.078125
491,2.046875
492,0.6796875
493,1.2890625
494,2.875
495,0.9140625
496,4.09375
497,4.0
498,1.0859375
499,3.453125
500,2.5625
501,2.78125
502,3.96875
503,4.3125
504,5.0
505,2.953125
506,6.0625
507,2.3125
508,2.765625
509,2.5625
510,2.453125
511,0.8828125
512,2.421875
513,3.703125
514,1.8046875
515,4.1875
516,1.9296875
517,1.7890625
518,2.765625
519,5.78125
520,1.6328125
521,2.171875
522,4.75
523,3.5625
524,3.75
525,1.6171875
526,1.21875
527,1.125
528,0.9765625
529,1.78125
530,5.40625
531,2.359375
532,1.984375
533,3.96875
534,6.3125
535,3.03125
536,0.6640625
537,2.34375
538,0.93359375
539,2.453125
540,0.8828125
541,2.640625
542,2.921875
543,1.125
544,6.15625
545,2.765625
546,2.453125
547,2.921875
548,3.453125
549,5.34375
550,3.0
551,2.5
552,2.390625
553,1.5390625
554,3.03125
555,2.265625
556,3.703125
557,3.484375
558,3.421875
559,2.703125
560,6.1875
561,2.78125
562,0.62109375
563,1.296875
564,5.34375
565,5.15625
566,3.140625
567,2.21875
568,2.390625
569,4.8125
570,0.9296875
571,1.9140625
572,1.9140625
573,3.390625
574,1.7109375
575,1.6328125
576,0.67578125
577,0.859375
578,4.1875
579,2.140625
580,2.9375
581,1.546875
582,1.1328125
583,3.34375
584,2.984375
585,1.5
586,3.703125
587,2.0625
588,0.8515625
589,2.21875
590,1.625
591,3.15625
592,2.203125
593,1.984375
594,2.21875
595,1.4765625
596,3.6875
597,0.546875
598,3.359375
599,2.890625
600,3.515625
601,1.3359375
602,7.71875
603,3.328125
604,3.28125
605,5.28125
606,4.84375
607,2.59375
608,3.140625
609,2.171875
610,3.671875
611,1.0625
612,4.0
613,3.375
614,0.53515625
615,5.03125
616,0.451171875
617,2.125
618,1.6171875
619,1.9765625
620,0.6640625
621,3.1875
622,2.078125
623,4.65625
624,2.3125
625,2.515625
626,1.203125
627,3.109375
628,2.65625
629,2.296875
630,2.84375
631,3.703125
632,1.734375
633,1.9140625
634,2.75
635,1.9609375
636,2.53125
637,3.0625
638,2.140625
639,3.78125
640,3.5625
641,4.09375
642,3.234375
643,3.203125
644,2.84375
645,2.359375
646,0.9921875
647,1.1796875
648,3.625
649,3.4375
650,0.58984375
651,2.1875
652,1.5625
653,3.734375
654,1.3671875
655,1.28125
656,4.28125
657,2.625
658,3.0625
659,0.7109375
660,2.21875
661,3.84375
662,1.9453125
663,4.8125
664,4.40625
665,2.6875
666,2.53125
667,4.90625
668,2.734375
669,4.09375
670,2.671875
671,2.21875
672,2.953125
673,3.25
674,3.84375
675,2.421875
676,2.125
677,1.8828125
678,4.71875
679,3.5625
680,4.0625
681,1.7421875
682,1.640625
683,4.84375
684,3.265625
685,1.9609375
686,4.59375
687,2.640625
688,2.390625
689,3.625
690,9.3125
691,2.875
692,5.53125
693,2.90625
694,3.53125
695,0.9765625
696,1.078125
697,2.78125
698,2.875
699,2.171875
700,3.09375
701,1.296875
702,2.6875
703,4.5625
704,1.765625
705,3.3125
706,4.96875
707,4.34375
708,2.375
709,5.03125
710,1.8671875
711,1.9921875
712,3.765625
713,2.640625
714,4.625
715,3.75
716,2.734375
717,2.578125
718,1.5546875
719,1.546875
720,2.546875
721,2.625
722,2.5625
723,2.609375
724,2.265625
725,1.3203125
726,1.875
727,4.09375
728,1.953125
729,4.4375
730,2.71875
731,2.8125
732,0.8984375
733,0.5703125
734,3.9375
735,5.21875
736,3.546875
737,2.515625
738,3.03125
739,2.5
740,0.98046875
741,3.28125
742,3.296875
743,2.1875
744,1.7265625
745,1.9296875
746,5.25
747,3.171875
748,3.90625
749,4.5
750,3.15625
751,2.921875
752,0.9140625
753,1.9453125
754,4.96875
755,1.359375
756,2.671875
757,3.4375
758,1.015625
759,2.71875
760,1.34375
761,5.21875
762,3.09375
763,1.8359375
764,1.203125
765,2.609375
766,3.25
767,5.3125
768,2.1875
769,5.1875
770,3.671875
771,5.5625
772,3.828125
773,2.875
774,1.1015625
775,0.859375
776,4.5625
777,5.21875
778,4.1875
779,0.7890625
780,7.3125
781,2.359375
782,2.96875
783,0.73046875
784,2.140625
785,3.6875
786,5.84375
787,1.328125
788,5.78125
789,0.96484375
790,3.296875
791,2.34375
792,3.5
793,3.78125
794,1.78125
795,2.203125
796,1.34375
797,1.8359375
798,0.8671875
799,1.8515625
800,2.8125
801,4.28125
802,1.4296875
803,0.8828125
804,0.9296875
805,1.78125
806,3.15625
807,2.515625
808,2.40625
809,3.921875
810,0.78125
811,2.1875
812,2.328125
813,2.21875
814,2.390625
815,4.375
816,2.609375
817,4.71875
818,0.60546875
819,2.15625
820,4.3125
821,1.765625
822,1.3671875
823,3.125
824,3.625
825,4.90625
826,4.46875
827,2.453125
828,3.65625
829,3.59375
830,5.9375
831,0.66796875
832,4.25
833,1.2734375
834,1.8671875
835,0.53125
836,2.015625
837,5.4375
838,4.9375
839,2.765625
840,0.609375
841,0.87890625
842,1.9375
843,3.078125
844,3.375
845,1.5234375
846,4.6875
847,0.8828125
848,1.875
849,2.125
850,2.8125
851,1.6953125
852,2.3125
853,1.890625
854,1.0078125
855,1.4296875
856,2.015625
857,1.5078125
858,1.65625
859,1.9140625
860,0.89453125
861,0.48046875
862,4.53125
863,5.625
864,2.4375
865,4.28125
866,2.171875
867,1.7421875
868,2.6875
869,1.9453125
870,2.140625
871,3.640625
872,5.9375
873,0.62890625
874,7.0
875,2.015625
876,2.21875
877,3.328125
878,5.0625
879,0.609375
880,0.90625
881,0.80078125
882,2.28125
883,6.375
884,3.328125
885,3.015625
886,5.03125
887,3.640625
888,2.515625
889,2.25
890,3.21875
891,2.265625
892,1.984375
893,1.8515625
894,6.53125
895,2.875
896,4.84375
897,5.4375
898,6.6875
899,2.09375
900,3.046875
901,2.484375
902,1.125
903,1.5546875
904,1.6953125
905,0.73828125
906,4.25
