step,loss
0,11.6875
1,3.46875
2,4.1875
3,4.375
4,22.0
5,12.1875
6,6.5
7,3.5
8,4.1875
9,4.1875
10,3.953125
11,3.0625
12,4.5625
13,4.53125
14,4.375
15,3.9375
16,3.515625
17,3.640625
18,3.484375
19,2.421875
20,3.28125
21,4.0
22,3.640625
23,2.390625
24,2.90625
25,3.515625
26,2.765625
27,2.9375
28,3.515625
29,3.328125
30,2.9375
31,2.984375
32,1.9765625
33,2.5625
34,2.765625
35,3.28125
36,3.453125
37,2.953125
38,2.96875
39,2.203125
40,2.90625
41,3.171875
42,3.109375
43,2.28125
44,2.671875
45,3.0
46,3.375
47,2.84375
48,2.3125
49,3.484375
50,2.40625
51,1.8515625
52,2.34375
53,2.375
54,1.9296875
55,2.546875
56,3.484375
57,3.171875
58,3.28125
59,3.0625
60,2.65625
61,2.109375
62,2.15625
63,3.03125
64,2.375
65,2.96875
66,2.84375
67,3.1875
68,2.03125
69,3.921875
70,2.234375
71,2.1875
72,2.84375
73,3.4375
74,3.640625
75,2.703125
76,2.5
77,2.21875
78,1.96875
79,2.640625
80,2.140625
81,2.09375
82,2.8125
83,2.734375
84,2.75
85,2.625
86,2.796875
87,2.28125
88,2.5
89,3.1875
90,3.140625
91,2.0625
92,1.9453125
93,3.78125
94,2.65625
95,3.859375
96,2.25
97,2.34375
98,2.515625
99,2.53125
